Iteration,yn
456,9.898776
457,9.899788
458,9.900790
459,9.901782
460,9.902765
461,9.903737
462,9.904700
463,9.905653
464,9.906596
465,9.907530
466,9.908455
467,9.909370
468,9.910276
469,9.911174
470,9.912062
471,9.912941
472,9.913812
473,9.914674
474,9.915527
475,9.916372
476,9.917208
477,9.918036
478,9.918856
479,9.919667
480,9.920470
481,9.921266
482,9.922053
483,9.922833
484,9.923604
485,9.924368
486,9.925124
487,9.925873
488,9.926615
489,9.927348
490,9.928075
491,9.928794
492,9.929506
493,9.930211
494,9.930909
495,9.931600
496,9.932284
497,9.932961
498,9.933631
499,9.934295
500,9.934952
501,9.935603
502,9.936247
503,9.936884
504,9.937515
505,9.938140
506,9.938759
507,9.939371
508,9.939978
509,9.940578
510,9.941172
511,9.941760
512,9.942343
513,9.942919
514,9.943490
515,9.944055
516,9.944615
517,9.945168
518,9.945717
519,9.946260
520,9.946797
521,9.947329
522,9.947856
523,9.948377
524,9.948893
525,9.949404
526,9.949910
527,9.950411
528,9.950907
529,9.951398
530,9.951884
531,9.952365
532,9.952842
533,9.953313
534,9.953780
535,9.954242
536,9.954700
537,9.955153
538,9.955601
539,9.956045
540,9.956485
541,9.956920
542,9.957351
543,9.957777
544,9.958200
545,9.958618
546,9.959031
547,9.959441
548,9.959847
549,9.960248
550,9.960646
551,9.961039
552,9.961429
553,9.961815
554,9.962196
555,9.962574
556,9.962949
557,9.963319
558,9.963686
559,9.964049
560,9.964409
561,9.964765
562,9.965117
563,9.965466
564,9.965811
565,9.966153
566,9.966491
567,9.966827
568,9.967158
569,9.967487
570,9.967812
571,9.968134
572,9.968452
573,9.968768
574,9.969080
575,9.969389
576,9.969695
577,9.969999
578,9.970299
579,9.970596
580,9.970890
581,9.971181
582,9.971469
583,9.971754
584,9.972037
585,9.972316
586,9.972593
587,9.972867
588,9.973139
589,9.973407
590,9.973673
591,9.973936
592,9.974197
593,9.974455
594,9.974710
595,9.974963
596,9.975214
597,9.975462
598,9.975707
599,9.975950
600,9.976190
601,9.976429
602,9.976664
603,9.976898
604,9.977129
605,9.977357
606,9.977584
607,9.977808
608,9.978030
609,9.978250
610,9.978467
611,9.978682
612,9.978896
613,9.979107
614,9.979316
615,9.979522
616,9.979727
617,9.979930
618,9.980131
619,9.980329
620,9.980526
621,9.980721
622,9.980914
623,9.981104
624,9.981293
625,9.981480
626,9.981666
627,9.981849
628,9.982030
629,9.982210
630,9.982388
631,9.982564
632,9.982739
633,9.982911
634,9.983082
635,9.983251
636,9.983419
637,9.983584
638,9.983749
639,9.983911
640,9.984072
641,9.984231
642,9.984389
643,9.984545
644,9.984700
645,9.984853
646,9.985004
647,9.985154
648,9.985303
649,9.985450
650,9.985595
651,9.985739
652,9.985882
653,9.986023
654,9.986163
655,9.986301
656,9.986438
657,9.986574
658,9.986708
659,9.986841
660,9.986972
661,9.987103
662,9.987232
663,9.987359
664,9.987486
665,9.987611
666,9.987735
667,9.987857
668,9.987979
669,9.988099
670,9.988218
671,9.988336
672,9.988453
673,9.988568
674,9.988682
675,9.988796
676,9.988908
677,9.989018
678,9.989128
679,9.989237
680,9.989345
681,9.989451
682,9.989557
683,9.989661
684,9.989765
685,9.989867
686,9.989968
687,9.990069
688,9.990168
689,9.990266
690,9.990363
691,9.990460
692,9.990555
693,9.990650
694,9.990743
695,9.990836
696,9.990927
697,9.991018
698,9.991108
699,9.991197
700,9.991285
701,9.991372
702,9.991458
703,9.991544
704,9.991628
705,9.991712
706,9.991795
707,9.991877
708,9.991958
709,9.992039
710,9.992118
711,9.992197
712,9.992275
713,9.992352
714,9.992429
715,9.992505
716,9.992579
717,9.992654
718,9.992727
719,9.992800
720,9.992872
721,9.992943
722,9.993014
723,9.993084
724,9.993153
725,9.993221
726,9.993289
727,9.993356
728,9.993423
729,9.993488
730,9.993553
731,9.993618
732,9.993682
733,9.993745
734,9.993807
735,9.993869
736,9.993931
737,9.993991
738,9.994051
739,9.994111
740,9.994170
741,9.994228
742,9.994286
743,9.994343
744,9.994400
745,9.994456
746,9.994511
747,9.994566
748,9.994620
749,9.994674
750,9.994727
751,9.994780
752,9.994832
753,9.994884
754,9.994935
755,9.994986
756,9.995036
757,9.995086
758,9.995135
759,9.995183
760,9.995231
761,9.995279
762,9.995326
763,9.995373
764,9.995419
765,9.995465
766,9.995511
767,9.995555
768,9.995600
769,9.995644
770,9.995687
771,9.995731
772,9.995773
773,9.995816
774,9.995857
775,9.995899
776,9.995940
777,9.995980
778,9.996021
779,9.996060
780,9.996100
781,9.996139
782,9.996177
783,9.996216
784,9.996253
785,9.996291
786,9.996328
787,9.996365
788,9.996401
789,9.996437
790,9.996473
791,9.996508
792,9.996543
793,9.996577
794,9.996612
795,9.996646
796,9.996679
797,9.996712
798,9.996745
799,9.996778
800,9.996810
801,9.996842
802,9.996873
803,9.996905
804,9.996936
805,9.996966
806,9.996997
807,9.997027
808,9.997056
809,9.997086
810,9.997115
811,9.997144
812,9.997172
813,9.997201
814,9.997229
815,9.997256
816,9.997284
817,9.997311
818,9.997338
819,9.997365
820,9.997391
821,9.997417
822,9.997443
823,9.997468
824,9.997494
825,9.997519
826,9.997544
827,9.997568
828,9.997592
829,9.997617
830,9.997640
831,9.997664
832,9.997687
833,9.997710
834,9.997733
835,9.997756
836,9.997778
837,9.997801
838,9.997823
839,9.997844
840,9.997866
841,9.997887
842,9.997908
843,9.997929
844,9.997950
845,9.997971
846,9.997991
847,9.998011
848,9.998031
849,9.998051
850,9.998070
851,9.998089
852,9.998108
853,9.998127
854,9.998146
855,9.998165
856,9.998183
857,9.998201
858,9.998219
859,9.998237
860,9.998255
861,9.998272
862,9.998289
863,9.998306
864,9.998323
865,9.998340
866,9.998357
867,9.998373
868,9.998389
869,9.998406
870,9.998421
871,9.998437
872,9.998453
873,9.998468
874,9.998484
875,9.998499
876,9.998514
877,9.998529
878,9.998543
879,9.998558
880,9.998572
881,9.998587
882,9.998601
883,9.998615
884,9.998629
885,9.998642
886,9.998656
887,9.998669
888,9.998683
889,9.998696
890,9.998709
891,9.998722
892,9.998735
893,9.998747
894,9.998760
895,9.998772
896,9.998784
897,9.998797
898,9.998809
899,9.998821
900,9.998832
901,9.998844
902,9.998856
903,9.998867
904,9.998878
905,9.998890
906,9.998901
907,9.998912
908,9.998923
909,9.998933
910,9.998944
911,9.998955
912,9.998965
913,9.998975
914,9.998986
915,9.998996
916,9.999006
917,9.999016
918,9.999026
919,9.999035
920,9.999045
921,9.999055
922,9.999064
923,9.999073
924,9.999083
925,9.999092
926,9.999101
927,9.999110
928,9.999119
929,9.999128
930,9.999136
931,9.999145
932,9.999153
933,9.999162
934,9.999170
935,9.999179
936,9.999187
937,9.999195
938,9.999203
939,9.999211
940,9.999219
941,9.999227
942,9.999234
943,9.999242
944,9.999250
945,9.999257
946,9.999265
947,9.999272
948,9.999279
949,9.999286
950,9.999294
951,9.999301
952,9.999308
953,9.999315
954,9.999321
955,9.999328
956,9.999335
957,9.999342
958,9.999348
959,9.999355
960,9.999361
961,9.999368
962,9.999374
963,9.999380
964,9.999386
965,9.999392
966,9.999399
967,9.999405
968,9.999410
969,9.999416
970,9.999422
971,9.999428
972,9.999434
973,9.999439
974,9.999445
975,9.999451
976,9.999456
977,9.999461
978,9.999467
979,9.999472
980,9.999477
981,9.999483
982,9.999488
983,9.999493
984,9.999498
985,9.999503
986,9.999508
987,9.999513
988,9.999518
989,9.999523
990,9.999527
991,9.999532
992,9.999537
993,9.999541
994,9.999546
995,9.999551
996,9.999555
997,9.999560
998,9.999564
999,9.999568
